words	gend_m
embrace	2.167
emerald	2.964
emergency	4.469
emotion	2.625
emotional	2.29
empathy	2.485
emphasis	3.618
emphasize	3.688
empire	5.735
employ	4.849
employee	4.2
employer	4.97
employment	4.824
emporium	4.03
empty	3.964
enact	4.333
encore	4.061
encyclopedia	3.857
end	4.441
ending	3.743
endless	4
endure	3.97
engage	3.333
engaged	2.824
engagement	2.867
engaging	3.235
engine	5.886
engineer	5.727
enhance	3.882
enjoy	3.514
enjoyment	3.571
enquire	3.8
enquiry	3.606
enraged	5.171
ensure	3.794
entail	4.032
enter	4.118
enterprise	4.861
enthral	3.792
enthusiasm	3.182
enthusiastic	3.206
entitle	4.212
entrepreneur	5.139
entry	3.882
envelope	3.771
epidemic	4.71
episode	4.121
episodic	4
equal	3.97
equality	3.516
equipment	5.114
erase	4.094
erode	4.514
eroded	4.788
erotic	3.156
errand	3.546
error	4.345
eruption	5.529
escape	3.727
escaped	4.382
escapee	4.677
escort	3.629
